iter	RMSE
0	7.525128641
1	7.450935282
2	7.364690183
3	7.280258238
4	7.197351024
5	7.12970011
6	7.052785366
7	6.980704345
8	6.907958411
9	6.854115964
10	6.786153706
11	6.716823168
12	6.661519685
13	6.605523429
14	6.546703293
15	6.476878478
16	6.422510375
17	6.367412112
18	6.320992206
19	6.260845503
20	6.205873836
21	6.162834193
22	6.123574412
23	6.079299682
24	6.037962742
25	5.996645147
26	5.955909734
27	5.91176555
28	5.879546104
29	5.835317912
30	5.799379407
31	5.77203398
32	5.73840488
33	5.71204581
34	5.67424774
35	5.655414876
36	5.614386867
37	5.588481449
38	5.556377127
39	5.541655632
40	5.516450303
41	5.487222395
42	5.46783394
43	5.446766344
44	5.427599697
45	5.404590096
46	5.377761604
47	5.357325428
48	5.344040513
49	5.326589608
50	5.302332786
51	5.279471294
52	5.252715144
53	5.227184624
54	5.209520479
55	5.194847061
56	5.166939087
57	5.14703015
58	5.130131317
59	5.116191625
60	5.096828532
61	5.087291623
62	5.073009374
63	5.066043972
64	5.043981455
65	5.035585906
66	5.024747814
67	5.011375838
68	4.997102076
69	4.989464295
70	4.97286426
71	4.962686638
72	4.951274822
73	4.940149914
74	4.928249611
75	4.918718486
76	4.907597518
77	4.891372046
78	4.882242952
79	4.872427654
80	4.863434551
81	4.854520618
82	4.842310809
83	4.83610468
84	4.829135532
85	4.821747012
86	4.817545606
87	4.808088884
88	4.798958997
89	4.786682062
90	4.783050452
91	4.772352629
92	4.767788604
93	4.762518036
94	4.755337859
95	4.743727057
96	4.735994213
97	4.732214084
98	4.727498301
99	4.724668246
100	4.718775497
101	4.709216684
102	4.70121209
103	4.689774009
104	4.685829009
105	4.678637455
106	4.668506134
107	4.659668146
108	4.655885698
109	4.651994885
110	4.647810469
111	4.645051079
112	4.641496165
113	4.635994038
114	4.629586507
115	4.626324278
116	4.621089589
117	4.616565878
118	4.613311832
119	4.611424675
120	4.608753124
121	4.603945757
122	4.597626776
123	4.59742442
124	4.590703858
125	4.585641276
126	4.58443167
127	4.582203749
128	4.581256783
129	4.576310659
130	4.574461971
131	4.569021382
132	4.564010363
133	4.559950998
134	4.552972254
135	4.551622902
136	4.54735677
137	4.543647847
138	4.540223682
139	4.535702557
140	4.530555823
141	4.527912091
142	4.525698886
143	4.525031931
144	4.518504982
145	4.515856646
146	4.514871312
147	4.511178729
148	4.508641784
149	4.503681237
150	4.501772659
151	4.499196947
152	4.495203209
153	4.493721302
154	4.487095274
155	4.481300143
156	4.480416677
157	4.476772923
158	4.475413213
159	4.473140524
160	4.469647609
161	4.468039245
162	4.464699588
163	4.460629523
164	4.452886759
165	4.44913045
166	4.448539538
167	4.447676185
168	4.444960096
169	4.444047641
170	4.44355823
171	4.438731175
172	4.437186686
173	4.435205954
174	4.431638644
175	4.430725673
176	4.427235284
177	4.426344417
178	4.423302434
179	4.417889444
180	4.416699619
181	4.411992731
182	4.407593324
183	4.402855019
184	4.400863127
185	4.398877957
186	4.396456503
187	4.393753804
188	4.392780873
189	4.389042954
190	4.384791779
191	4.384463703
192	4.380515732
193	4.378199863
194	4.373977213
195	4.370903602
196	4.367351232
197	4.363800793
198	4.360168232
199	4.357313232
200	4.356485794
201	4.352852797
202	4.349716016
203	4.348561083
204	4.346043612
205	4.342164691
206	4.338649985
207	4.334305885
208	4.333824527
209	4.332389637
210	4.330024387
211	4.329663729
212	4.328284614
213	4.327359312
214	4.324098153
215	4.322468032
216	4.321746499
217	4.318018866
218	4.316460507
219	4.314594434
220	4.312368482
221	4.310350164
222	4.308902839
223	4.305765671
224	4.303266323
225	4.30318291
226	4.300695656
227	4.298239126
228	4.295719985
229	4.293225879
230	4.290332259
231	4.289264652
232	4.284905972
233	4.283105347
234	4.282458719
235	4.280034944
236	4.277994018
237	4.275847341
238	4.273223154
239	4.270916149
240	4.267275742
241	4.26498425
242	4.262697468
243	4.26061159
244	4.257997725
245	4.257931707
246	4.255447793
247	4.252397992
248	4.250840865
249	4.249292261
250	4.246456943
251	4.244285483
252	4.241336245
253	4.239753787
254	4.237341035
255	4.23566049
256	4.234441868
257	4.231107747
258	4.228894518
259	4.225432499
260	4.221946292
261	4.220957861
262	4.219903874
263	4.217467162
264	4.215577844
265	4.214235977
266	4.212256283
267	4.209539044
268	4.206771315
269	4.204602873
270	4.202640706
271	4.199555426
272	4.198474388
273	4.195373796
274	4.193804337
275	4.191526047
276	4.188970213
277	4.186554477
278	4.184914848
279	4.182560815
280	4.180199864
281	4.178478231
282	4.176084244
283	4.174330295
284	4.172916004
285	4.171238865
286	4.169319992
287	4.167372981
288	4.166073297
289	4.165254336
290	4.163399523
291	4.161646771
292	4.16028366
293	4.158485881
294	4.156819176
295	4.155175679
296	4.152467205
297	4.151337104
298	4.149651195
299	4.147884999
300	4.146389323
301	4.144732095
302	4.14293585
303	4.141336527
304	4.139064045
305	4.137516228
306	4.136295536
307	4.134063842
308	4.132667648
309	4.131074933
310	4.129223896
311	4.127708158
312	4.125916877
313	4.124351838
314	4.123003976
315	4.121522411
316	4.119405131
317	4.11823053
318	4.116544599
319	4.1152434
320	4.11420549
321	4.112902397
322	4.111610114
323	4.110725543
324	4.109283895
325	4.108145455
326	4.107296766
327	4.106152959
328	4.105041841
329	4.103963557
330	4.102066182
331	4.100477361
332	4.099456721
333	4.097854839
334	4.096775181
335	4.095255386
336	4.094400807
337	4.092982505
338	4.091295567
