iter	Passed	Remaining
0	2	2370
1	4	2227
2	6	2156
3	9	2307
4	11	2284
5	13	2245
6	15	2216
7	17	2200
8	19	2184
9	21	2174
10	24	2177
11	26	2186
12	31	2401
13	34	2409
14	39	2621
15	44	2767
16	48	2822
17	55	3013
18	58	3018
19	66	3260
20	70	3274
21	72	3228
22	76	3260
23	79	3246
24	83	3275
25	86	3237
26	90	3250
27	94	3279
28	98	3295
29	100	3252
30	108	3395
31	116	3536
32	119	3510
33	125	3560
34	131	3632
35	134	3601
36	138	3601
37	146	3701
38	150	3705
39	155	3739
40	161	3769
41	163	3740
42	173	3865
43	175	3821
44	178	3779
45	180	3744
46	185	3757
47	189	3760
48	191	3722
49	193	3685
50	196	3650
51	204	3731
52	207	3707
53	209	3674
54	212	3658
55	215	3628
56	219	3628
57	224	3641
58	231	3692
59	239	3755
60	245	3772
61	250	3795
62	257	3837
63	262	3841
64	267	3841
65	273	3868
66	277	3862
67	281	3856
68	285	3848
69	287	3824
70	291	3811
71	294	3799
72	298	3792
73	303	3795
74	305	3770
75	316	3846
76	324	3895
77	337	3984
78	344	4015
79	352	4051
80	354	4026
81	359	4019
82	362	4000
83	368	4020
84	374	4035
85	382	4062
86	385	4047
87	388	4030
88	391	4009
89	394	3992
90	401	4009
91	403	3985
92	406	3962
93	408	3937
94	410	3912
95	415	3909
96	418	3898
97	423	3898
98	426	3885
99	432	3895
100	436	3883
101	440	3878
102	442	3857
103	445	3841
104	450	3842
105	453	3821
106	455	3799
107	457	3778
108	460	3761
109	464	3759
110	468	3748
111	470	3727
112	472	3708
113	475	3693
114	479	3687
115	483	3681
116	485	3662
117	487	3646
118	490	3629
119	492	3612
120	496	3607
121	498	3588
122	500	3571
123	503	3554
124	505	3536
125	507	3520
126	510	3507
127	514	3504
128	516	3489
129	519	3476
130	522	3463
131	524	3448
132	527	3437
133	533	3449
134	537	3442
135	539	3426
136	541	3410
137	546	3414
138	550	3408
139	552	3395
140	554	3380
141	557	3366
142	561	3364
143	565	3362
144	567	3347
145	569	3333
146	571	3318
147	573	3301
148	578	3304
149	581	3295
150	583	3282
151	585	3268
152	587	3255
153	590	3242
154	598	3265
155	601	3256
156	605	3248
157	611	3256
158	613	3246
159	617	3243
160	620	3236
161	624	3229
162	629	3231
163	631	3219
164	633	3207
165	635	3195
166	639	3188
167	645	3198
168	648	3187
169	650	3175
170	652	3163
171	654	3151
172	661	3160
173	663	3148
174	665	3137
175	666	3122
176	669	3111
177	671	3100
178	675	3098
179	677	3087
180	679	3075
181	681	3064
182	684	3053
183	686	3042
184	691	3046
185	694	3037
186	696	3027
187	698	3017
188	700	3006
189	702	2996
190	708	2999
